nome_fundo;tipo_fundo;aplicacao_min;taxa_adm;cot_resgate;liq_resgate;taxa_risco;rent_12_meses;rent_24_meses;rent_36_meses;data_inicio;benchmark;taxa_performance;link
eTrend All Star Brasil FIC FIA ;Renda Variável;100;1.00;"D+1

(Dias Úteis)";"D+2

(Dias Úteis)";26;N/D;N/D;N/D;29/01/2021;IBOV;10.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_39959974000132.pdf
PIMCO Global Financials Credit F... ;Internacional;5000;0.93;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";17;7.30;13.48;35.08;28/12/2017;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_29066331000106_v25.pdf
Trend Tesouro Americano FIM ;Internacional;100;0.50;"D+5

(Dias Corridos)";"D+1

(Dias Úteis)";26;-6.73;N/D;N/D;07/08/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37396658000174_v24.pdf
Safari 30 FIC FIM II ;Renda Variável;5000;1.80;"D+27

(Dias Corridos)";"D+2

(Dias Úteis)";42;-28.94;-35.96;-10.21;26/12/2018;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31533638000111_v98.pdf
Wellington European Equity Dólar... ;Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;15.46;N/D;N/D;14/10/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38077268000102_v34.pdf
WHG Global Long Biased BRL FIC... ;Multimercado;50000;2.00;"D+25

(Dias Corridos)";"D+5

(Dias Úteis)";26;N/D;N/D;N/D;16/04/2021;IPCA;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_41409761000189.pdf
JGP Equity FIC FIM ;Renda Variável;20000;1.85;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";34;-16.55;-5.23;20.51;30/05/2008;IPCA+6%a.a.;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_09143318000104_v111.pdf
Neo Provectus I FIC FIM ;Multimercado;10000;2.00;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";26;0.80;14.47;24.74;07/07/2017;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26324209000102_v15.pdf
Gávea Macro Advisory FIC FIM ;Multimercado;10000;1.89;"D+29

(Dias Corridos)";"D+1

(Dias Úteis)";26;7.37;20.81;N/D;05/07/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32240637000141_v59.pdf
Morgan Stanley Global Dinâmico A... ;Internacional;500;0.80;"D+1

(Dias Corridos)";"D+5

(Dias Úteis)";18;4.86;13.38;N/D;16/05/2019;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32386581000138_v96.pdf
Icatu Vanguarda Pré-Fixado FIRF... ;Renda Fixa Pré-Fixado/Inflação;500;0.30;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";10;-9.66;-3.44;12.58;11/04/2014;IRF-M 1+;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_19418031000195_v148.pdf
Vista FIC FIA ;Renda Variável;5000;2.00;"D+15

(Dias Corridos)";"D+2

(Dias Úteis)";34;-25.43;-21.86;11.62;30/12/2014;IBRX;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_21329166000126_v153.pdf
Trend Small Caps FIA ;Renda Variável;100;0.50;"D+0

(Dias Úteis)";"D+2

(Dias Úteis)";42;-22.26;N/D;N/D;24/04/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35956046000163_v72.pdf
Giant Darius Advisory FIC FIM ;Multimercado;500;2.00;"D+30

(Dias Corridos)";"D+3

(Dias Úteis)";26;N/D;N/D;N/D;17/06/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_41075713000100.pdf
IP - Participações IPG FIC FIA B... ;Renda Variável;1000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;2.74;27.44;74.77;16/07/2010;IBRX-100;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_12082452000149_v92.pdf
Journey Capital Endurance Deb In... ;Renda Fixa Pré-Fixado/Inflação;500;0.80;"D+45

(Dias Corridos)";"D+1

(Dias Úteis)";15;4.88;17.37;N/D;09/09/2019;IMA_B 5;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34580935000106_v53.pdf
Trend China Tech FIM ;Internacional;100;0.50;"D+4

(Dias Corridos)";"D+2

(Dias Úteis)";41;N/D;N/D;N/D;30/09/2021;-;-;
Encore Ações Advisory FIC FIA ;Renda Variável;500;1.88;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;N/D;N/D;N/D;29/01/2021;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37487547000173_v24.pdf
BNP Paribas Rubi FIC FIRF CP ;Renda Fixa Pós-Fixado;5000;0.40;"D+9

(Dias Corridos)";"D+1

(Dias Úteis)";6;6.54;7.62;13.97;30/12/2014;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_21185984000100_v118.pdf
Adam Macro Advisory FIC FIM ;Multimercado;25000;1.90;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";10;0.82;6.79;10.80;28/04/2016;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_24078037000109_v122.pdf
SPX Seahawk Global Advisory FIC... ;Renda Fixa Pós-Fixado;1000;0.40;"D+45

(Dias Corridos)";"D+1

(Dias Úteis)";26;N/D;N/D;N/D;02/09/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_37069872000116.pdf
Sparta Premium FIC FI Referencia... ;Renda Fixa Pós-Fixado;500;0.30;"D+0

(Dias Úteis)";"D+0

(Dias Úteis)";1;4.16;6.30;12.12;09/05/2014;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_12923387000137_v159.pdf
Giant Sigma Advisory FIC FIM ;Multimercado;500;1.45;"D+10

(Dias Corridos)";"D+3

(Dias Úteis)";26;0.78;8.95;N/D;30/07/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34186116000189_v56.pdf
Mongeral Aegon Crédito Privado F... ;Renda Fixa Pós-Fixado;1000;0.45;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;6.52;6.68;12.37;30/09/2014;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_19488768000184_v96.pdf
XP JHSF Real Estate US FIP Multi... ;Alternativo;100000;1.40;;;50;N/D;N/D;N/D;21/10/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_41687480000198.pdf
Trend Pós-Fixado FIRF Simples ;Renda Fixa Pós-Fixado;100;0.15;"D+0

(Dias Úteis)";"D+0

(Dias Úteis)";1;4.54;7.02;13.11;29/12/2016;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26559284000144_v172.pdf
WHG RF Dinâmico FIC FIM CP ;Internacional;5000;0.95;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;N/D;N/D;N/D;31/08/2021;CDI;10.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_41978534000174.pdf
WHG Global Long Biased USD FIC F... ;Multimercado;50000;2.00;"D+25

(Dias Corridos)";"D+5

(Dias Úteis)";26;N/D;N/D;N/D;16/04/2021;IPCA;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_41423887000108.pdf
Gauss Panorama FIC FIM CP ;Multimercado;500;1.50;"D+2

(Dias Úteis)";"D+1

(Dias Úteis)";10;N/D;N/D;N/D;12/02/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31608422000178_v1.pdf
Wellington Schroder Gaia USD Adv... ;Internacional;1000;0.75;"D+7

(Dias Corridos)";"D+3

(Dias Úteis)";20;8.76;N/D;N/D;04/11/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38032741000127_v23.pdf
Exploritas Alpha America Latina... ;Multimercado;5000;2.00;"D+30

(Dias Corridos)";"D+3

(Dias Úteis)";47;5.67;-25.11;-17.59;30/04/2014;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_19628666000117_v108.pdf
Trend Dynamic Inovação Global FI... ;Internacional;100;0.50;"D+4

(Dias Corridos)";"D+2

(Dias Úteis)";34;N/D;N/D;N/D;10/09/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_42407900000106.pdf
Solana Ações FIC FIA ;Renda Variável;10000;1.85;"D+30

(Dias Úteis)";"D+2

(Dias Úteis)";26;-6.43;N/D;N/D;26/08/2020;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38029012000111_v11.pdf
ARX Vinson FIC FIRF CP ;Renda Fixa Pós-Fixado;1000;0.50;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";4;9.20;11.25;18.24;24/08/2018;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_30910553000142_v98.pdf
ARX Elbrus Advisory FIC de Fundo... ;Renda Fixa Pré-Fixado/Inflação;500;0.70;"D+30

(Dias Corridos)";"D+1

(Dias Corridos)";10;7.17;17.26;N/D;25/03/2019;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32319627000104_v90.pdf
Morgan Stanley Global Opportunit... ;Internacional;500;0.80;"D+30

(Dias Corridos)";"D+5

(Dias Úteis)";26;N/D;N/D;N/D;26/02/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_40155341000150_v22.pdf
JP Morgan China Opportunities Ad... ;Internacional;500;0.70;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";32;N/D;N/D;N/D;31/08/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_38597714000100.pdf
Canvas Enduro Advisory FIC FIM ;Multimercado;5000;1.95;"D+29

(Dias Corridos)";"D+1

(Dias Úteis)";26;N/D;N/D;N/D;26/07/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_41075440000195.pdf
Vinland Long Bias Advisory FIC F... ;Renda Variável;1000;1.90;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;-1.45;8.14;29.56;29/03/2018;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_28581039000169_v114.pdf
Valora Absolute FIRF Crédito Pri... ;Renda Fixa Pós-Fixado;1000;0.50;"D+14

(Dias Corridos)";"D+1

(Dias Úteis)";6;6.69;9.66;16.20;16/01/2009;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_10326625000100_v156.pdf
"Blackrock Global Impact Dolar Ad... 
ESG";Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;-10.33;N/D;N/D;09/12/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38597826000152_v18.pdf
Navi Institucional FIC FIA ;Renda Variável;10000;1.50;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";35;-10.39;-6.83;27.48;30/09/2011;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_14113340000133_v160.pdf
Wellington Ventura Dolar Advisor... ;Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;14.66;N/D;N/D;13/03/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35578709000153_v77.pdf
Truxt I Valor FIC FIA ;Renda Variável;5000;1.90;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";31;-25.04;-3.50;36.04;02/06/2017;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26269603000187_v38.pdf
"FAMA FIC FIA 
ESG";Renda Variável;1000;2.00;"D+57

(Dias Corridos)";"D+2

(Dias Úteis)";38;-26.02;-29.10;0.75;01/06/1995;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_00601692000123_v182.pdf
AZ Quest Valore FI Renda Fixa CP ;Renda Fixa Pós-Fixado;5000;1.00;"D+4

(Dias Corridos)";"D+1

(Dias Úteis)";7;7.34;7.20;13.06;28/04/2014;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_19782311000188_v145.pdf
Riza Lotus FIRF Referenciado DI... ;Renda Fixa Pós-Fixado;1000;0.25;"D+0

(Dias Corridos)";"D+1

(Dias Úteis)";6;6.42;N/D;N/D;17/03/2020;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_36498670000127_v56.pdf
ARX Income FIC FIA ;Renda Variável;500;2.93;"D+1

(Dias Úteis)";"D+2

(Dias Úteis)";36;-11.23;-8.51;21.77;17/06/1999;IBOV;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_03168062000103_v156.pdf
Dahlia Institucional Advisory FI... ;Renda Variável;500;1.85;"D+15

(Dias Corridos)";"D+2

(Dias Úteis)";39;-25.75;-19.69;N/D;31/07/2019;IBRX-100;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33755672000166_v67.pdf
XP Investor 30 FIC FIA ;Renda Variável;10000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";44;-15.73;-24.29;11.59;15/03/2017;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26718169000175_v185.pdf
Norte Long Bias FIC FIM ;Renda Variável;10000;1.80;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;N/D;N/D;N/D;29/01/2021;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37467515000106_v11.pdf
Solana Long Short FIC de FIM ;Multimercado;10000;1.85;"D+14

(Dias Corridos)";"D+1

(Dias Úteis)";8;8.62;14.40;25.05;30/10/2013;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_18772290000157_v136.pdf
ARX Extra FIC FIM ;Multimercado;1000;2.00;"D+4

(Dias Corridos)";"D+1

(Dias Úteis)";26;6.79;21.07;32.45;23/12/2003;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_06041290000106_v152.pdf
Sparta Top FIC FI RF Crédito Pri... ;Renda Fixa Pós-Fixado;1000;0.30;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";6;7.65;9.53;15.66;07/02/2012;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_14188162000100_v158.pdf
Starboard Special Situations II... ;Alternativo;200000;-;;;35;-10.21;135.60;147.20;14/08/2018;IPCA;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_30282418000108_v4.pdf
Empírica Lótus IPCA FIC FIM CP ;Renda Fixa Pré-Fixado/Inflação;15000;1.00;"D+120

(Dias Corridos)";"D+1

(Dias Úteis)";8;12.76;23.76;35.87;16/12/2015;IPCA;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_22652091000182_v42.pdf
Novus Retorno Absoluto FIC FIM ;Renda Variável;5000;1.90;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";31;-29.92;-30.19;-11.13;28/12/2018;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_30995398000104_v86.pdf
Claritas Institucional FIM ;Multimercado;1000;0.97;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;3.29;6.55;13.50;22/06/2009;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_10705335000169_v149.pdf
Truxt I Valor Institucional FIC... ;Renda Variável;10000;2.90;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";38;-21.36;-11.12;27.94;10/08/2017;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26277595000110_v97.pdf
WHG China Macro FIC FIM CP ;Internacional;5000;1.95;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";10;N/D;N/D;N/D;22/09/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_42014125000110.pdf
Kapitalo Tarkus Advisory FIC FIA ;Renda Variável;10000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";44;N/D;N/D;N/D;21/01/2021;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39573883000164_v11.pdf
Neo Navitas B FIC FIA ;Renda Variável;1000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";41;-24.05;-26.12;3.79;16/02/2017;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26218614000138_v99.pdf
Schroder Liquid Alternatives IE... ;Internacional;5000;0.75;"D+7

(Dias Corridos)";"D+3

(Dias Úteis)";9;6.23;9.99;20.48;22/09/2016;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_24018821000113_v114.pdf
Safari FIC FIM II ;Renda Variável;5000;1.80;"D+27

(Dias Corridos)";"D+3

(Dias Úteis)";42;-28.80;-35.55;-8.98;29/04/2016;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_23960625000109_v117.pdf
Trend Bolsas Globais FIM ;Internacional;100;0.50;"D+4

(Dias Corridos)";"D+2

(Dias Úteis)";26;14.39;N/D;N/D;14/08/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37553464000135_v32.pdf
XP Crédito Middle FIC FIM CP LP ;Renda Fixa Pós-Fixado;25000;1.00;"D+180

(Dias Corridos)";"D+1

(Dias Úteis)";26;N/D;N/D;N/D;05/05/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_41610479000165_v7.pdf
RPS Total Return Advisory D60 FI... ;Multimercado;500;1.70;"D+60

(Dias Corridos)";"D+3

(Dias Úteis)";26;N/D;N/D;N/D;07/05/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_41153236000145_v16.pdf
Wellington Ventura 30 Advisory F... ;Internacional;500;0.80;"D+30

(Dias Corridos)";"D+5

(Dias Úteis)";26;11.76;N/D;N/D;28/10/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38610795000122_v40.pdf
Western Asset Multitrading H Mul... ;Multimercado;5000;1.10;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;-1.43;2.88;11.12;11/11/2003;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_05024659000100_v167.pdf
Frontier Long Bias FIC FIA ;Renda Variável;5000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;N/D;N/D;N/D;31/03/2021;IPCA + YIELD IMAB5+;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_41065292000128_v10.pdf
AZ Quest TOP Long Biased FIC FIA ;Renda Variável;1000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";41;-4.80;-6.20;28.67;18/10/2011;IBRX;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_13974750000106_v155.pdf
Verde AM Mundi Ações Globais FIC... ;Internacional;10000;1.50;"D+5

(Dias Corridos)";"D+5

(Dias Úteis)";26;11.80;N/D;N/D;16/01/2020;-;10.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34831155000191_v46.pdf
Canvas High Yield Advisory FIC F... ;Renda Fixa Pós-Fixado;500;1.45;"D+360

(Dias Corridos)";"D+1

(Dias Úteis)";10;8.45;10.74;N/D;30/10/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34431610000161_v35.pdf
AZ Quest Advisory Total Return F... ;Multimercado;500;2.00;"D+27

(Dias Corridos)";"D+2

(Dias Úteis)";10;4.82;-1.82;N/D;14/01/2019;CDI;25.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32240069000189_v83.pdf
Miles Singular Global Tech BRL F... ;Internacional;1000;1.40;"D+4

(Dias Úteis)";"D+3

(Dias Úteis)";26;N/D;N/D;N/D;30/09/2021;S&P 500;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_39506138000100.pdf
Aberdeen China Equity Advisory F... ;Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;N/D;N/D;N/D;06/04/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_40750982000153_v1.pdf
Pacifico Macro Advisory FIC FIM ;Multimercado;10000;1.93;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";8;N/D;N/D;N/D;18/01/2021;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38252499000105_v19.pdf
Kinea Oportunidade FIRF CP ;Renda Fixa Pós-Fixado;1000;0.80;"D+90

(Dias Corridos)";"D+1

(Dias Úteis)";6;7.08;N/D;N/D;14/04/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_32990051000102.pdf
Capitânia Premium FIC FIRF Crédi... ;Renda Fixa Pós-Fixado;1000;0.55;"D+44

(Dias Corridos)";"D+1

(Dias Úteis)";6;8.22;11.14;19.79;06/11/2014;CDI;15.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_20146294000171_v151.pdf
Selection RF Global FIC FIM CP I... ;Internacional;100;0.50;"D+10

(Dias Corridos)";"D+5

(Dias Úteis)";6;N/D;N/D;N/D;18/06/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_39726030000115.pdf
Vinci Mosaico Advisory FIA ;Renda Variável;500;1.97;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";38;N/D;N/D;N/D;26/02/2021;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_40226014000142_v26.pdf
XP Fundo de Fundos Imobiliarios... ;Multimercado;5000;1.00;"D+90

(Dias Corridos)";"D+3

(Dias Úteis)";26;-3.56;N/D;N/D;14/05/2020;-;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_36327149000127_v44.pdf
Ashmore EM Debt Advisory FIC FIM... ;Internacional;500;0.60;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";25;-7.04;N/D;N/D;31/08/2020;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35557650000117_v40.pdf
XP Macro Plus FIC FIM ;Multimercado;10000;2.00;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";24;9.04;15.77;31.04;30/04/2018;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_30068713000158_v175.pdf
Arbor Global Equities BRL FIC FI... ;Internacional;1000;1.87;"D+10

(Dias Corridos)";"D+2

(Dias Úteis)";26;-2.26;111.40;262.13;23/03/2015;IPCA+6%a.a.;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_21689246000192_v15.pdf
Vinci Multiestrategia FIM ;Multimercado;500;0.96;"D+0

(Dias Úteis)";"D+1

(Dias Úteis)";6;3.03;6.37;14.34;31/03/2011;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_12440825000106_v50.pdf
Mauá Capital Ações FIC FIA ;Renda Variável;1000;1.93;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";55;-25.14;-43.62;-14.73;01/09/2017;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_28419514000103_v119.pdf
Kilima Maji FIRF ;Renda Fixa Pós-Fixado;100;0.27;"D+0

(Dias Úteis)";"D+0

(Dias Úteis)";6;N/D;N/D;N/D;15/06/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_39375554000109.pdf
Bahia AM Long Biased FIC FIM ;Renda Variável;1000;1.90;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";36;-21.69;-21.10;-1.33;30/12/2015;IPCA+6%a.a.;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_23732231000195_v135.pdf
Geo Empresas Globais em Reais FI... ;Internacional;1000;2.00;"D+30

(Dias Corridos)";"D+4

(Dias Úteis)";30;12.21;9.23;32.47;18/12/2018;CPI + 2,5%aa;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32102192000133_v99.pdf
"Nordea Global Stars Dólar Adviso... 
ESG";Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";26;14.15;N/D;N/D;29/12/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39603050000107_v18.pdf
Kadima High Vol FIM ;Multimercado;20000;2.00;"D+10

(Dias Corridos)";"D+1

(Dias Úteis)";26;6.54;10.64;13.36;23/03/2012;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_14146496000110_v14.pdf
Mapfre RF FI ;Renda Fixa Pré-Fixado/Inflação;100;0.45;"D+0

(Dias Úteis)";"D+0

(Dias Úteis)";6;3.25;6.10;12.32;19/03/2007;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_08610270000126_v113.pdf
Meraki Long Biased FIC FIM ;Renda Variável;1000;1.85;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;-13.95;N/D;N/D;24/08/2020;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38049303000171_v13.pdf
Expert XP Top 10 Ações Internaci... ;Internacional;100;1.10;"D+1

(Dias Úteis)";"D+3

(Dias Úteis)";26;N/D;N/D;N/D;27/12/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Regulamento/Regulamento_43122432000188.pdf
XP Debentures Incentivadas Hedge... ;Renda Fixa Pós-Fixado;5000;0.80;"D+60

(Dias Corridos)";"D+1

(Dias Úteis)";6;8.19;10.99;15.79;29/03/2018;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26803233000116_v156.pdf
"Nordea Alfa 10 Advisory FIC FIM... 
ESG";Internacional;500;0.55;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";15;N/D;N/D;N/D;19/02/2021;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_39818102000154_v17.pdf
